WorkerId,Input.wordnet_id,Input.class_index,Input.feature_index,Input.feature_rank,Answer.main,Answer.confidence,Answer.reasons
185,n01443537,1,457,4,main_object,3.0,Red focus is on the fish.
211,n01443537,1,457,4,main_object,5.0,Clear focus on the fish with no overlap
150,n01443537,1,457,4,main_object,5.0,Focus is on the fish's head.
188,n01443537,1,1462,5,main_object,5.0,Heat map suggest the Focus is on fish eye
160,n01443537,1,1462,5,main_object,5.0,in each image the gold fish is being the target of the red even when they are small
150,n01443537,1,1462,5,main_object,5.0,Focus is on the fish's eye.
248,n01443537,1,1462,5,main_object,5.0,THE FOCUS IS ON SOME PART OF THE MAIN OBJECT OF THE FISH.
125,n01443537,1,1462,5,main_object,5.0,The red region in the Highlighted visual attributes focuses on the body part of a goldfish.
52,n01484850,2,2034,1,background,4.0,focus is on water in the background of great white shark
188,n01484850,2,2034,1,background,5.0,Focus is on water in the background of great white shark
185,n01484850,2,2034,1,main_object,3.0,Red focus is on shark.
138,n01484850,2,2034,1,main_object,5.0,focus is on body and head which is a part of shark
234,n01484850,2,2034,1,main_object,3.0,The main object is great white shark whose some part got focus.
82,n01484850,2,1697,2,separate_object,4.0,Focus is on the water of the ocean around the great white shark.
88,n01484850,2,1697,2,background,4.0,Focus is on sea which is in the background of great white shark
138,n01484850,2,1697,2,background,5.0,focus is on water that is not a part of shark
264,n01484850,2,1697,2,background,5.0,focus is on water which is in the background of the shark
102,n01484850,2,1697,2,background,5.0,All of the red areas are highlighting either open water or water with much smaller fish than the main object.
52,n01484850,2,1823,3,main_object,4.0,focus si on face of great white shark
185,n01484850,2,1823,3,main_object,3.0,Red focus is on shark.
264,n01484850,2,1823,3,main_object,5.0,focus is on eyes/mouth which is a part of shark
82,n01484850,2,1823,3,main_object,4.0,"Focus is under the eye and side of the upper lips of the great white shark,."
138,n01484850,2,1823,3,main_object,5.0,focus is on head which is a part of shark
264,n01484850,2,227,4,main_object,4.0,focus is on jaw/fins which are parts of the shark
234,n01484850,2,227,4,main_object,4.0,The main object is great white shark whose some part got focus.
138,n01484850,2,227,4,main_object,5.0,focus is on body and head which is a part of shark
82,n01484850,2,227,4,main_object,4.0,Focus is on the water of the ocean around the great white shark.
52,n01484850,2,227,4,main_object,4.0,focus is on face of great white shark
82,n01484850,2,686,5,main_object,4.0,"Focus is on the eye, around the eye and the stomach part of the great white shark."
52,n01484850,2,686,5,main_object,4.0,focus is on body and face of great white shark
138,n01484850,2,686,5,main_object,5.0,focus is on head and body which is a part of shark
234,n01484850,2,686,5,main_object,4.0,The main object is great white shark whose some part got focus.
188,n01484850,2,686,5,main_object,5.0,"Focus is on eyes which is a part of great white shark,"
142,n01491361,3,686,1,main_object,5.0,Focus is on the face and front side of the body of the tiger shark.
52,n01491361,3,686,1,main_object,4.0,focus is on body of tiger shark
63,n01491361,3,686,1,main_object,5.0,focus is on tiger shark
234,n01491361,3,686,1,main_object,4.0,The main object is tiger shark whose some part got focus.
79,n01491361,3,686,1,main_object,3.0,focus is on eye of a tiger shark
142,n01491361,3,1697,2,main_object,5.0,Focus is on the fins and lower body of the tiger shark.
79,n01491361,3,1697,2,background,4.0,ocean is in the background of  tiger shark
22,n01491361,3,1697,2,background,3.0,focus is on background part of the shark that is water.
27,n01491361,3,1697,2,background,5.0,All the images are mainly focused on background water.
52,n01491361,3,1697,2,background,4.0,focus on water in the background of tiger shark
27,n01491361,3,1823,3,main_object,5.0,All the images are mainly focused on main object's body parts.
107,n01491361,3,1823,3,main_object,4.0,"Focus is on some part of the main object tiger shark, Galeocerdo cuvieri"
63,n01491361,3,1823,3,main_object,5.0,focus is on the body of Galeocerdo cuvieri
234,n01491361,3,1823,3,main_object,4.0,The main object is tiger shark whose some part got focus.
52,n01491361,3,1823,3,main_object,4.0,focus is on body and face of tiger shark
27,n01491361,3,905,4,main_object,5.0,All the images are mainly focused on main object's body parts.
229,n01491361,3,905,4,main_object,5.0,The focus of the red region in the Highlighted visual attribute is on tiger shark.
188,n01491361,3,905,4,main_object,4.0,focus is on fins which is a part of tigershark
234,n01491361,3,905,4,main_object,4.0,The main object is tiger shark whose some part got focus.
52,n01491361,3,905,4,main_object,4.0,focus on the body of tiger shark
234,n01491361,3,981,5,background,3.0,The main object is tiger shark but the focus is on background.
52,n01491361,3,981,5,background,4.0,focus is on water in the background of tiger shark
63,n01491361,3,981,5,main_object,5.0,focus is on the part of the body of aleocerdo cuvieri
213,n01491361,3,981,5,background,5.0,Focus is on the bottom of the sea near the tiger shark.
121,n01491361,3,981,5,separate_object,5.0,focus is on the algae are not the part of the shark
52,n01494475,4,1697,1,background,4.0,focus is on water in the background of hammerhead
22,n01494475,4,1697,1,background,3.0,focus is on background part of the hammerhead
249,n01494475,4,1697,1,background,4.0,Shark color is super so i just concentrate on the shark
121,n01494475,4,1697,1,background,5.0,focus on the water in the background of the  hammerhead
136,n01494475,4,1697,1,background,4.0,focus is on water in the background of hammerhead shark
121,n01494475,4,686,2,main_object,5.0,focus is on the stomach of the hammerhead shark
52,n01494475,4,686,2,main_object,4.0,focus on  the body of hammerhead
43,n01494475,4,686,2,main_object,4.0,Focus is on the main body of the hammerhead shark
234,n01494475,4,686,2,main_object,4.0,The main object is hammerhead shark whose some part got focus.
27,n01494475,4,686,2,main_object,5.0,All the images are mainly focused on main object's body parts.
52,n01494475,4,981,3,background,4.0,focus is on water in the background of hammerhead
213,n01494475,4,981,3,main_object,3.0,Focus is on the hammerhead shark and the surrounding water.
107,n01494475,4,981,3,main_object,4.0,"Focus is on some part of the main object hammerhead, hammerhead shark"
22,n01494475,4,981,3,separate_object,3.0,focus is on some other around hammerhead shark
27,n01494475,4,981,3,background,5.0,All the images are mainly focused on background only.
121,n01494475,4,227,4,main_object,5.0,focus is on the stomach of the hammerhead shark
52,n01494475,4,227,4,main_object,4.0,focus is on body of hammerhead
107,n01494475,4,227,4,main_object,4.0,"Focus is on some part of the main object  hammerhead, hammerhead shark"
27,n01494475,4,227,4,main_object,5.0,Most of the images are mainly focused on main object's body parts.
142,n01494475,4,227,4,main_object,5.0,Focus is on the upper body of the hammerhead shark.
27,n01494475,4,905,5,main_object,5.0,Most of the images are mainly focused on main object's body parts.
188,n01494475,4,905,5,main_object,5.0,focus is on fins which is a part of Hummer head shark
142,n01494475,4,905,5,main_object,5.0,Focus is on the fins and body of the hammerhead shark.
52,n01494475,4,905,5,main_object,4.0,focus is on body of hammerhead
234,n01494475,4,905,5,main_object,4.0,The main object is hammerhead shark whose some part got focus.
142,n01496331,5,310,1,main_object,5.0,Focus is on the upper part of the body of the electric ray crampfish.
136,n01496331,5,310,1,main_object,4.0,focus is on skin which is a part of crampfish
52,n01496331,5,310,1,main_object,4.0,focus is on top of electric ray
82,n01496331,5,310,1,main_object,4.0,Focus is on the upper side of the crampfish.
229,n01496331,5,310,1,main_object,5.0,The focus of the red region in the Highlighted visual attributes is on crampfish.
52,n01496331,5,227,2,main_object,4.0,"focus is on body of electric ray,"
82,n01496331,5,227,2,main_object,4.0,Focus is on the upper part of the crampfish.
233,n01496331,5,227,2,main_object,2.0,Focus is on the fish
136,n01496331,5,227,2,main_object,4.0,focus is on skin which is a part of electric ray
27,n01496331,5,227,2,main_object,5.0,Most of the images are mainly focused on main object's body parts.
233,n01496331,5,981,3,background,2.0,Focus is on the sea
63,n01496331,5,981,3,main_object,5.0,focus is on the part of electric ray
82,n01496331,5,981,3,separate_object,4.0,Focus is on the stones all around the electric ray.
52,n01496331,5,981,3,background,4.0,focus is on land in the background of electric ray
121,n01496331,5,981,3,separate_object,5.0,Focus is on water which is not part of crampfish
52,n01496331,5,564,4,background,4.0,focus is on land of electric ray in the background of electric ray
234,n01496331,5,564,4,main_object,4.0,The main obect is crampfish whose some part got focus.
82,n01496331,5,564,4,separate_object,4.0,Focus is on the bed of the ocean on which the crampfish is swimming.
27,n01496331,5,564,4,background,5.0,Most of the images are mainly focused on background only.
136,n01496331,5,564,4,background,3.0,focus is on sand in the background of crampfish
52,n01496331,5,1827,5,main_object,4.0,focus is on body of electric ray
27,n01496331,5,1827,5,main_object,5.0,All the images are mainly focused on main object's body parts.
229,n01496331,5,1827,5,main_object,5.0,The focus of the red region in the Highlighted visual attributes is on crampfish.
63,n01496331,5,1827,5,main_object,5.0,focus is on the part of the body of torpedo
22,n01496331,5,1827,5,main_object,4.0,focus is on part of the electric ray
52,n01498041,6,847,1,background,4.0,focus is on water in the background ofstingray
231,n01498041,6,847,1,separate_object,1.0,Focus was water that was adjacent to a person.
27,n01498041,6,847,1,background,5.0,Most of the images are mainly focused on background only.
233,n01498041,6,847,1,main_object,3.0,Focus is on the fish
152,n01498041,6,847,1,background,3.0,focus is on the water behind the stingray
27,n01498041,6,227,2,main_object,5.0,All the images are mainly focused on main object's body parts.
52,n01498041,6,227,2,main_object,4.0,focus is on body of stingray
142,n01498041,6,227,2,main_object,5.0,Focus is on the upper body of the stingray.
63,n01498041,6,227,2,main_object,5.0,focus is on part of stingray
152,n01498041,6,227,2,main_object,3.0,focus is on the head of the stingray
52,n01498041,6,564,3,background,4.0,focus is on land in the background of stingray
142,n01498041,6,564,3,main_object,5.0,Focus is on the body and tail of the stingray.
27,n01498041,6,564,3,background,5.0,All the images are mainly focused on background only.
152,n01498041,6,564,3,background,3.0,focus is on the ocean floor behind the stingray
121,n01498041,6,564,3,separate_object,5.0,Focus is on water which is not part of stingray
152,n01498041,6,310,4,main_object,2.0,the focus is on the stingrays head
27,n01498041,6,310,4,main_object,5.0,All the images are mainly focused on main object's body parts.
52,n01498041,6,310,4,main_object,4.0,focus is on body of stingray
63,n01498041,6,310,4,main_object,5.0,focus is on skin which is a part of stingray
88,n01498041,6,310,4,main_object,2.0,Focus is on spots which are part of stingray
233,n01498041,6,491,5,background,2.0,Focus is on the water
88,n01498041,6,491,5,background,3.0,Focus is on sea which is in the background of stingray
27,n01498041,6,491,5,background,5.0,Most of the images are mainly focused on background only.
52,n01498041,6,491,5,background,4.0,focus is on water which in the background of stingray
234,n01498041,6,491,5,main_object,3.0,The main object is stingray whose some part got focus.
52,n01514668,7,1236,1,main_object,4.0,focus is on body of cock
264,n01514668,7,1236,1,main_object,4.0,focus is on main body of bird
121,n01514668,7,1236,1,main_object,5.0,Focus is on the body of cock
185,n01514668,7,1236,1,main_object,3.0,Red focus is on cock.
63,n01514668,7,1236,1,main_object,5.0,focus is on cock
82,n01514668,7,317,2,main_object,4.0,"Focus is on the eye, cheeks and the throat part of the cock."
121,n01514668,7,317,2,main_object,5.0,Focus is on neck of cock
264,n01514668,7,317,2,main_object,4.0,focus is on beak/neck which is a part of bird
185,n01514668,7,317,2,main_object,4.0,Red focus is on cock.
142,n01514668,7,317,2,main_object,5.0,"Focus is on the head and neck of the rooster cock, which is the main object."
52,n01514668,7,1667,3,main_object,4.0,focus is on body of cock
185,n01514668,7,1667,3,main_object,3.0,Red focus is on cock.
121,n01514668,7,1667,3,main_object,5.0,Focus is on head of cock
136,n01514668,7,1667,3,main_object,3.0,focus is on head which is a part of cock
142,n01514668,7,1667,3,main_object,5.0,"Focus is on the face and neck of the rooster cock, which is the main object."
82,n01514668,7,1964,4,main_object,4.0,"Focus is on the eye, cheeks and starting of the beak of the cock."
185,n01514668,7,1964,4,main_object,3.0,Red focus is on cock.
107,n01514668,7,1964,4,main_object,4.0,Focus is on eyes and noce of the main object cock
121,n01514668,7,1964,4,main_object,5.0,Focus is on eyes of cock
264,n01514668,7,1964,4,main_object,4.0,focus is on eyes/beak which is a part of bird
264,n01514668,7,233,5,main_object,4.0,focus is on eyes/beak which is a part of bird
142,n01514668,7,233,5,main_object,5.0,"Focus is on the face of the rooster, which is the main object."
82,n01514668,7,233,5,main_object,4.0,Focus is on the eye and cheek of the cock.
63,n01514668,7,233,5,main_object,4.0,focus is on cock
107,n01514668,7,233,5,main_object,4.0,Focus is on mainly hade of the cock
88,n01514859,8,1236,1,main_object,3.0,Focus is on neck which is a part of hen
177,n01514859,8,1236,1,main_object,5.0,focus is on feathers which is a part of hen
121,n01514859,8,1236,1,main_object,5.0,focus is on the neck of the hen
142,n01514859,8,1236,1,main_object,5.0,"Focus is on the body, neck and head of the hen, which is the main object."
229,n01514859,8,1236,1,main_object,5.0,The focus of the red region in the Highlighted visual attributes is on hen.
52,n01514859,8,317,2,main_object,4.0,focus on neck of hen
88,n01514859,8,317,2,main_object,3.0,Focus is on neck which is a part of hen
229,n01514859,8,317,2,main_object,5.0,The focus of the red region in the Highlighted visual attributes is on the neck of hen.
84,n01514859,8,317,2,main_object,5.0,focus is on the neck of a hen
63,n01514859,8,317,2,main_object,5.0,focus is on hen around its neck
229,n01514859,8,1964,3,main_object,5.0,The focus of the red region in the Highlighted visual attributes is on the beak of hen.
88,n01514859,8,1964,3,main_object,4.0,Focus is on beak which is a part of hen
142,n01514859,8,1964,3,main_object,5.0,"Focus is on the face and beak of the hen, which is the main object."
234,n01514859,8,1964,3,main_object,4.0,The main obect is hen whose some part got focus.
63,n01514859,8,1964,3,main_object,5.0,focus is on beak and eye area of hen
82,n01514859,8,1667,4,main_object,4.0,Focus is on the face and neck of the hen.
229,n01514859,8,1667,4,main_object,5.0,The focus of the red region in the Highlighted visual attributes is on the  neck of hen.
52,n01514859,8,1667,4,main_object,4.0,focus is on neck of hen
189,n01514859,8,1667,4,main_object,5.0,focus is on head which is part of hen
150,n01514859,8,1667,4,main_object,5.0,Focus is on the chicken's head.
82,n01514859,8,1297,5,main_object,4.0,Focus is on the crown and the eyes of the hen.
63,n01514859,8,1297,5,main_object,5.0,focus is on hen
142,n01514859,8,1297,5,main_object,5.0,"Focus is on the eyes, face and neck of the hen, which is the main object"
234,n01514859,8,1297,5,main_object,4.0,The main obect is hen whose some part got focus.
52,n01514859,8,1297,5,main_object,4.0,focus on the face of hen
115,n01518878,9,569,1,main_object,5.0,"Explained in the description of the task, the red area indicates the most relevant focus area by the model, a prediction of where a person might focus."
72,n01518878,9,569,1,main_object,4.0,"Focus of the red region in the highlighted visual attributes seems to on areas that are part of the main object, specifically the head and neck region."
138,n01518878,9,569,1,main_object,5.0,Red highlight focuses on the lower part of the beak of the ostrich
192,n01518878,9,569,1,main_object,5.0,Focus is on the ostrich
185,n01518878,9,569,1,main_object,3.0,Ostrich bird is focused here.
150,n01518878,9,1830,2,main_object,5.0,Focus is on the bird's neck.
185,n01518878,9,1830,2,main_object,3.0,Red focus is on the face of ostrich.
124,n01518878,9,1830,2,main_object,5.0,"Focus is on the face ,eyes and beak of a ostrich"
115,n01518878,9,1830,2,main_object,5.0,Because the focus of the red color was at least somewhat on the main object in the highlighted visual attributes.
125,n01518878,9,1830,2,main_object,4.0,The red region in the Highlighted visual attributes focuses on the part of an ostrich.
188,n01518878,9,1236,3,main_object,5.0,Heat map suggest the focus is on Ostrich's beak
51,n01518878,9,1236,3,main_object,5.0,the main focus is on the beak of the ostrich which is part of the main object
27,n01518878,9,1236,3,main_object,5.0,Images are fully focused on main object's body parts.
233,n01518878,9,1236,3,main_object,2.0,Focus is on the bird
185,n01518878,9,1236,3,main_object,3.0,Beak of the ostrich bird is focused.
150,n01518878,9,1964,4,main_object,5.0,Focus is on the bird's beak.
185,n01518878,9,1964,4,main_object,3.0,Red highlight is on the ostrich.
186,n01518878,9,1964,4,main_object,5.0,Focus is set on main object Bird.
124,n01518878,9,1964,4,main_object,5.0,"The Focus Is On ostrich, Struthio camelus's  Face & Eye"
27,n01518878,9,1964,4,main_object,5.0,Images are mainly focused on main object's body parts.
188,n01518878,9,63,5,background,4.0,Grass field in the background of ostrich
63,n01518878,9,63,5,separate_object,3.0,Highlighted visual attributes is on the lower part of the ostrich surrounding the feet's.
125,n01518878,9,63,5,main_object,3.0,The red region in the Highlighted visual attributes focuses on the legs of an ostrich.
117,n01518878,9,63,5,background,4.0,The red region is focused on the grass and the area behind the ostriches.
202,n01518878,9,63,5,background,5.0,Highlighted visual attributes is focus on  main object to overlap.
185,n01530575,10,1780,1,main_object,3.0,Red focus is on the body of the bird.
6,n01530575,10,1780,1,main_object,4.0,Focus is on the torso of the brambling.
146,n01530575,10,1780,1,main_object,4.0,above images focusing on some part of the main object.
124,n01530575,10,1780,1,main_object,5.0,focus is on  feathers of bird.
135,n01530575,10,1780,1,main_object,4.0,The red region mainly focuses on the predicted object but slightly spreads to the background and doesn't cover it fully.
12,n01530575,10,660,2,main_object,5.0,Red is consistently highlighting pars of the finches.
125,n01530575,10,660,2,main_object,4.0,The red region in the Highlighted visual attributes focuses on the body part of a brambling.
176,n01530575,10,660,2,main_object,5.0,"The main object is a brambling, Fringilla montifringilla. The focus of the red region on the highlighted visual attributes is on the bird's body, showing its main parts. Because of that, I choose that focus is on some part of the main object."
6,n01530575,10,660,2,main_object,4.0,Focus is on the neck of the brambling.
185,n01530575,10,660,2,main_object,3.0,The body of the bird is focused on.
185,n01530575,10,371,3,separate_object,3.0,Red focus is on the tree.
6,n01530575,10,371,3,separate_object,4.0,Focus is on the branch on which the brambling is sitting.
178,n01530575,10,371,3,background,5.0,the red parts are focused on the branches where the birds are
248,n01530575,10,371,3,separate_object,5.0,THE FOCUS IS NOT A PART OF THE MAIN OBJECT.
176,n01530575,10,371,3,separate_object,5.0,"The main object is an brambling, Fringilla montifringilla, a bird. The focus of the red region on the highlighted visual attributes is on the tree branch's, showing something that's not relevant for the visual attributes since the main object is an brambling, Fringilla montifringilla, a bird. Because of that, I choose to focus is on some other object (not a part of the main object)."
185,n01530575,10,457,4,main_object,3.0,Red focus is on the body of the bird.
172,n01530575,10,457,4,main_object,5.0,All of the birds have red highlighted marks on them in the pictures.
233,n01530575,10,457,4,main_object,2.0,focus on the bird
124,n01530575,10,457,4,main_object,5.0,the Focus Is On brambling's Backsite of body
222,n01530575,10,457,4,main_object,2.0,Focus is on the wings of the bird
235,n01530575,10,1468,5,main_object,4.0,"Most of the pictures (1, 2 and 3) have the red region focusing fully on the main object.  Images 4 and 5 I have my doubts the red region is truly focusing on the main object, and not on the background, but I've chosen the answer I did because most of the images (3 out of 5) go along with it."
25,n01530575,10,1468,5,background,2.0,Focus varies from photo to photo.  Some have virtually no focus on bird.
188,n01530575,10,1468,5,main_object,5.0,Focus is on wings of bird
27,n01530575,10,1468,5,background,5.0,Most of the images are mainly focused on background only.
125,n01530575,10,1468,5,main_object,5.0,focus is on body part of a brambling
192,n01531178,11,1780,1,main_object,5.0,Focus is on the bird
185,n01531178,11,1780,1,main_object,3.0,Red focus is on the body of the bird.
72,n01531178,11,1780,1,main_object,4.0,"Focus of the red region in the highlighted visual attributes seems to be on the body of the main object, specifically the feather and wing region."
138,n01531178,11,1780,1,main_object,5.0,Red highlight focuses on the wings of the goldfinch.
234,n01531178,11,1780,1,main_object,4.0,The image of bird is main object whose some part got focus.
185,n01531178,11,520,2,main_object,3.0,Body of the bird is focused.
125,n01531178,11,520,2,main_object,4.0,The red region in the Highlighted visual attributes focuses on the body of a goldfinch.
70,n01531178,11,520,2,main_object,3.0,"The red is pronounced in some images and is primarily on the main object. Other images, red is more obscured but appears to be on the main object."
40,n01531178,11,520,2,main_object,5.0,The focus appears to be on the body of the finch in all three.
146,n01531178,11,520,2,main_object,4.0,Most of the images are focusing on some part of the main object
188,n01531178,11,660,3,main_object,5.0,Heat map suggest the focus is on bird
27,n01531178,11,660,3,main_object,5.0,Most of the images are mainly focused on main object's body parts.
233,n01531178,11,660,3,separate_object,2.0,Focus is on the tree
185,n01531178,11,660,3,main_object,3.0,The body of the bird is focused on.
161,n01531178,11,660,3,main_object,3.0,I selected 3/5 because the red area covers the bird but it is not precise and in one pic it covers the tree branch
124,n01531178,11,1348,4,main_object,5.0,focus on the body of  the bird
150,n01531178,11,1348,4,main_object,5.0,Focus is on the bird's wings.
125,n01531178,11,1348,4,main_object,4.0,The red region in the Highlighted visual attributes focuses on the body part of a goldfinch.
185,n01531178,11,1348,4,main_object,3.0,Red focus is on the body of bird.
208,n01531178,11,1348,4,main_object,4.0,I think that option fix well with answers.
229,n01531178,11,1407,5,main_object,5.0,The focus of the red region in the Highlighted visual attributes is on the wings of the goldwinch.
185,n01531178,11,1407,5,main_object,3.0,Red focus is on the body of the bird.
248,n01531178,11,1407,5,main_object,5.0,The focus is fully on the main object
125,n01531178,11,1407,5,main_object,4.0,The red region in the Highlighted visual attributes focuses on the body part of a goldfinch.
176,n01531178,11,1407,5,main_object,5.0,"The main object is an goldfinch, Carduelis carduelis. The focus of the red region in the highlighted visual attributes is on the bird's head and body, showing its main parts. Because of that, I choose focus is on some part of the main object."
185,n01532829,12,1780,1,main_object,3.0,Body of the bird is focused here.
66,n01532829,12,1780,1,main_object,4.0,"The reddened area was not always on the same part of the bird. It was on its wing most of the time. But it also touched on the neck, for example. But, it was consistently on the bird."
138,n01532829,12,1780,1,main_object,4.0,Red highlight focuses on the body of the house finch
192,n01532829,12,1780,1,main_object,5.0,Focus is on the body of the bird
72,n01532829,12,1780,1,main_object,4.0,Focus of the red region in the highlighted visual attributes seems to be on areas of the main object.
125,n01532829,12,660,2,main_object,5.0,The red region in the Highlighted visual attributes focuses on the part of a house finch.
185,n01532829,12,660,2,main_object,3.0,Body of the bird is focused on.
222,n01532829,12,660,2,main_object,4.0,Because I see it on the pictures
115,n01532829,12,660,2,main_object,5.0,"Because the focus of the red color was at least somewhat on the main object in the highlighted visual attributes, the birds head in this case."
146,n01532829,12,660,2,main_object,4.0,Most of the images focusing on some part of the main object
233,n01532829,12,1667,3,main_object,2.0,Focus is on the bird
71,n01532829,12,1667,3,main_object,5.0,Model focuses on the head and neck region which is also colored in a bright red color compared to the rest of the bird's body
185,n01532829,12,1667,3,main_object,3.0,The body of the bird is focused on.
51,n01532829,12,1667,3,main_object,5.0,the main focus is on the house finch's head which is part of the main object
27,n01532829,12,1667,3,main_object,5.0,Images are fully focused on main object's body parts.
124,n01532829,12,957,4,main_object,5.0,"The focus is on the  house finch's face,eyes and whole body"
186,n01532829,12,957,4,main_object,5.0,Focus is  not set on main object bird's body.
185,n01532829,12,957,4,main_object,3.0,Red focus is on the body of bird.
188,n01532829,12,957,4,main_object,4.0,Heat map suggest the focus is on bird's wing's
208,n01532829,12,957,4,main_object,4.0,I think that option fix well with answers.
188,n01532829,12,371,5,separate_object,5.0,Tree branch is not a part of bird
125,n01532829,12,371,5,background,4.0,The red region in the Highlighted visual attributes focuses on the background of a  house finch.
229,n01532829,12,371,5,background,5.0,The focus of the red region in the Highlighted visual attributes is on the trees in the background of bird.
150,n01532829,12,371,5,main_object,5.0,Focus is on the center of the main object.
185,n01532829,12,371,5,separate_object,3.0,Red focus is on the tree.
6,n01534433,13,1780,1,main_object,4.0,Focus is on the torso of the junco.
124,n01534433,13,1780,1,main_object,5.0,The Focus Is On  junco's whole body
135,n01534433,13,1780,1,main_object,4.0,The red region mainly focuses on the predicted object but slightly spreads to the background and doesn't cover it fully.
185,n01534433,13,1780,1,main_object,3.0,Red focus is on the body of the bird.
146,n01534433,13,1780,1,main_object,4.0,Most of the images focused on some part of the main object.
176,n01534433,13,660,2,main_object,5.0,"The main object is a junco, snowbird. The focus of the red region on the highlighted visual attributes is on the bird's body, showing its main parts. Because of that, I choose that focus is on some part of the main object."
6,n01534433,13,660,2,main_object,4.0,Focus is on the neck and body of the junco.
10,n01534433,13,660,2,main_object,5.0,I am completely sure that the red highlighted area is focusing on the main object which is a bird or part of a bird
125,n01534433,13,660,2,main_object,4.0,The red region in the Highlighted visual attributes focuses on the body part of a junco.
185,n01534433,13,660,2,main_object,3.0,Red focus is on the body of bird.
6,n01534433,13,422,3,main_object,4.0,Focus is on the body of the junco.
179,n01534433,13,422,3,main_object,5.0,THE FOCUS IS HIGHLIGHTING THE BIRD'S BELLY
150,n01534433,13,422,3,main_object,5.0,Focus is on the bird.
214,n01534433,13,422,3,main_object,5.0,The red is on the body of the snowbird.
185,n01534433,13,422,3,main_object,4.0,Red focus is on the body of the snake.
172,n01534433,13,371,4,separate_object,5.0,The branches below the birds are highlighted in red.
203,n01534433,13,371,4,separate_object,5.0,Focus is on tree branch not on bird
