class_index,synset,wordnet_id,gloss,wikilinks,supercategory,val_sample_paths
10,"brambling, Fringilla montifringilla",n01530575,Eurasian finch,['https://en.wikipedia.org/wiki/Brambling'],Birds,"['ILSVRC2012_val_00000747.JPEG', 'ILSVRC2012_val_00002730.JPEG', 'ILSVRC2012_val_00047914.JPEG', 'ILSVRC2012_val_00037748.JPEG', 'ILSVRC2012_val_00045415.JPEG']"
11,"goldfinch, Carduelis carduelis",n01531178,small European finch having a crimson face and yellow-and-black wings,['https://en.wikipedia.org/wiki/Goldfinch'],Birds,"['ILSVRC2012_val_00019744.JPEG', 'ILSVRC2012_val_00009831.JPEG', 'ILSVRC2012_val_00003816.JPEG', 'ILSVRC2012_val_00032855.JPEG', 'ILSVRC2012_val_00042032.JPEG']"
12,"house finch, linnet, Carpodacus mexicanus",n01532829,small finch originally of the western United States and Mexico,['https://en.wikipedia.org/wiki/House_finch'],Birds,"['ILSVRC2012_val_00030042.JPEG', 'ILSVRC2012_val_00018699.JPEG', 'ILSVRC2012_val_00026123.JPEG', 'ILSVRC2012_val_00015964.JPEG', 'ILSVRC2012_val_00038160.JPEG']"
13,"junco, snowbird",n01534433,small North American finch seen chiefly in winter,['https://en.wikipedia.org/wiki/Junco'],Birds,"['ILSVRC2012_val_00030544.JPEG', 'ILSVRC2012_val_00015416.JPEG', 'ILSVRC2012_val_00038794.JPEG', 'ILSVRC2012_val_00006326.JPEG', 'ILSVRC2012_val_00023125.JPEG']"
14,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",n01537544,small deep blue North American bunting,['https://en.wikipedia.org/wiki/Indigo_bunting'],Birds,"['ILSVRC2012_val_00048732.JPEG', 'ILSVRC2012_val_00003557.JPEG', 'ILSVRC2012_val_00001462.JPEG', 'ILSVRC2012_val_00025428.JPEG', 'ILSVRC2012_val_00022076.JPEG']"
15,"robin, American robin, Turdus migratorius",n01558993,large American thrush having a rust-red breast and abdomen,['https://en.wikipedia.org/wiki/American_robin'],Birds,"['ILSVRC2012_val_00025035.JPEG', 'ILSVRC2012_val_00009092.JPEG', 'ILSVRC2012_val_00029495.JPEG', 'ILSVRC2012_val_00005594.JPEG', 'ILSVRC2012_val_00039814.JPEG']"
16,bulbul,n01560419,nightingale spoken of in Persian poetry,['https://en.wikipedia.org/wiki/Bulbul'],Birds,"['ILSVRC2012_val_00026929.JPEG', 'ILSVRC2012_val_00018145.JPEG', 'ILSVRC2012_val_00011331.JPEG', 'ILSVRC2012_val_00011267.JPEG', 'ILSVRC2012_val_00026010.JPEG']"
17,jay,n01580077,crested largely blue bird,['https://en.wikipedia.org/wiki/Jay'],Birds,"['ILSVRC2012_val_00001508.JPEG', 'ILSVRC2012_val_00041308.JPEG', 'ILSVRC2012_val_00026465.JPEG', 'ILSVRC2012_val_00006267.JPEG', 'ILSVRC2012_val_00006851.JPEG']"
18,magpie,n01582220,long-tailed black-and-white crow that utters a raucous chattering call,['https://en.wikipedia.org/wiki/Magpie'],Birds,"['ILSVRC2012_val_00046917.JPEG', 'ILSVRC2012_val_00039004.JPEG', 'ILSVRC2012_val_00021956.JPEG', 'ILSVRC2012_val_00002536.JPEG', 'ILSVRC2012_val_00003665.JPEG']"
19,chickadee,n01592084,any of various small grey-and-black songbirds of North America,['https://en.wikipedia.org/wiki/Chickadee'],Birds,"['ILSVRC2012_val_00043585.JPEG', 'ILSVRC2012_val_00000837.JPEG', 'ILSVRC2012_val_00035303.JPEG', 'ILSVRC2012_val_00017976.JPEG', 'ILSVRC2012_val_00037328.JPEG']"
20,"water ouzel, dipper",n01601694,small stocky diving bird without webbed feet; frequents fast-flowing streams and feeds along the bottom,['https://en.wikipedia.org/wiki/Dipper'],Birds,"['ILSVRC2012_val_00009597.JPEG', 'ILSVRC2012_val_00047121.JPEG', 'ILSVRC2012_val_00017028.JPEG', 'ILSVRC2012_val_00045581.JPEG', 'ILSVRC2012_val_00011519.JPEG']"
21,kite,n01608432,any of several small graceful hawks of the family Accipitridae having long pointed wings and feeding on insects and small animals,['https://en.wikipedia.org/wiki/Kite_(bird)'],Birds,"['ILSVRC2012_val_00046092.JPEG', 'ILSVRC2012_val_00038250.JPEG', 'ILSVRC2012_val_00001218.JPEG', 'ILSVRC2012_val_00046733.JPEG', 'ILSVRC2012_val_00033433.JPEG']"
22,"bald eagle, American eagle, Haliaeetus leucocephalus",n01614925,a large eagle of North America that has a white head and dark wings and body,['https://en.wikipedia.org/wiki/Bald_Eagle'],Birds,"['ILSVRC2012_val_00027570.JPEG', 'ILSVRC2012_val_00034168.JPEG', 'ILSVRC2012_val_00045612.JPEG', 'ILSVRC2012_val_00048960.JPEG', 'ILSVRC2012_val_00008151.JPEG']"
23,vulture,n01616318,any of various large diurnal birds of prey having naked heads and weak claws and feeding chiefly on carrion,['https://en.wikipedia.org/wiki/Vulture'],Birds,"['ILSVRC2012_val_00036620.JPEG', 'ILSVRC2012_val_00012178.JPEG', 'ILSVRC2012_val_00027588.JPEG', 'ILSVRC2012_val_00032832.JPEG', 'ILSVRC2012_val_00030515.JPEG']"
24,"great grey owl, great gray owl, Strix nebulosa",n01622779,large dish-faced owl of northern North America and western Eurasia,['https://en.wikipedia.org/wiki/Great_grey_owl'],Birds,"['ILSVRC2012_val_00008178.JPEG', 'ILSVRC2012_val_00004345.JPEG', 'ILSVRC2012_val_00025913.JPEG', 'ILSVRC2012_val_00010457.JPEG', 'ILSVRC2012_val_00021335.JPEG']"
25,"European fire salamander, Salamandra salamandra",n01629819,a kind of European salamander,['https://en.wikipedia.org/wiki/Fire_salamander'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00009616.JPEG', 'ILSVRC2012_val_00028565.JPEG', 'ILSVRC2012_val_00019630.JPEG', 'ILSVRC2012_val_00049065.JPEG', 'ILSVRC2012_val_00048463.JPEG']"
26,"common newt, Triturus vulgaris",n01630670,small semiaquatic salamander,['https://en.wikipedia.org/wiki/Smooth_newt'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00007528.JPEG', 'ILSVRC2012_val_00027269.JPEG', 'ILSVRC2012_val_00031919.JPEG', 'ILSVRC2012_val_00006844.JPEG', 'ILSVRC2012_val_00021083.JPEG']"
27,eft,n01631663,a newt in its terrestrial stage of development,['https://en.wikipedia.org/wiki/Newt'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00037037.JPEG', 'ILSVRC2012_val_00003214.JPEG', 'ILSVRC2012_val_00046289.JPEG', 'ILSVRC2012_val_00001010.JPEG', 'ILSVRC2012_val_00006319.JPEG']"
28,"spotted salamander, Ambystoma maculatum",n01632458,glossy black North American salamander with yellow spots,['https://en.wikipedia.org/wiki/Spotted_salamander'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00029491.JPEG', 'ILSVRC2012_val_00003863.JPEG', 'ILSVRC2012_val_00038202.JPEG', 'ILSVRC2012_val_00038459.JPEG', 'ILSVRC2012_val_00035936.JPEG']"
29,"axolotl, mud puppy, Ambystoma mexicanum",n01632777,larval salamander of mountain lakes of Mexico that usually lives without metamorphosing,['https://en.wikipedia.org/wiki/Axolotl'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00039922.JPEG', 'ILSVRC2012_val_00027929.JPEG', 'ILSVRC2012_val_00022771.JPEG', 'ILSVRC2012_val_00002524.JPEG', 'ILSVRC2012_val_00042302.JPEG']"
30,"bullfrog, Rana catesbeiana",n01641577,largest North American frog; highly aquatic with a deep-pitched voice,['https://en.wikipedia.org/wiki/Bullfrog'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00018512.JPEG', 'ILSVRC2012_val_00030342.JPEG', 'ILSVRC2012_val_00012558.JPEG', 'ILSVRC2012_val_00029727.JPEG', 'ILSVRC2012_val_00010287.JPEG']"
31,"tree frog, tree-frog",n01644373,any of various Old World arboreal frogs distinguished from true frogs by adhesive suckers on the toes,['https://en.wikipedia.org/wiki/Tree_frog'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00012248.JPEG', 'ILSVRC2012_val_00048482.JPEG', 'ILSVRC2012_val_00017989.JPEG', 'ILSVRC2012_val_00003621.JPEG', 'ILSVRC2012_val_00038959.JPEG']"
32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",n01644900,western North American frog with a taillike copulatory organ,['https://en.wikipedia.org/wiki/Tailed_frog'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00032966.JPEG', 'ILSVRC2012_val_00021776.JPEG', 'ILSVRC2012_val_00036942.JPEG', 'ILSVRC2012_val_00007818.JPEG', 'ILSVRC2012_val_00007437.JPEG']"
33,"loggerhead, loggerhead turtle, Caretta caretta",n01664065,very large carnivorous sea turtle; wide-ranging in warm open seas,['https://en.wikipedia.org/wiki/Loggerhead'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00031389.JPEG', 'ILSVRC2012_val_00021983.JPEG', 'ILSVRC2012_val_00031829.JPEG', 'ILSVRC2012_val_00046105.JPEG', 'ILSVRC2012_val_00048247.JPEG']"
34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",n01665541,wide-ranging marine turtle with flexible leathery carapace; largest living turtle,['https://en.wikipedia.org/wiki/Leatherback_sea_turtle'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00031179.JPEG', 'ILSVRC2012_val_00000938.JPEG', 'ILSVRC2012_val_00010669.JPEG', 'ILSVRC2012_val_00034960.JPEG', 'ILSVRC2012_val_00012746.JPEG']"
35,mud turtle,n01667114,bottom-dwelling freshwater turtle inhabiting muddy rivers of North America and Central America,['https://en.wikipedia.org/wiki/Kinosternon'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00036271.JPEG', 'ILSVRC2012_val_00036963.JPEG', 'ILSVRC2012_val_00022329.JPEG', 'ILSVRC2012_val_00009231.JPEG', 'ILSVRC2012_val_00034840.JPEG']"
36,terrapin,n01667778,any of various edible North American web-footed turtles living in fresh or brackish water,['https://en.wikipedia.org/wiki/Terrapin'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00013675.JPEG', 'ILSVRC2012_val_00013301.JPEG', 'ILSVRC2012_val_00025611.JPEG', 'ILSVRC2012_val_00022198.JPEG', 'ILSVRC2012_val_00031793.JPEG']"
37,"box turtle, box tortoise",n01669191,chiefly terrestrial turtle of North America; shell can be closed tightly,['https://en.wikipedia.org/wiki/Box_turtle'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00002232.JPEG', 'ILSVRC2012_val_00002783.JPEG', 'ILSVRC2012_val_00004781.JPEG', 'ILSVRC2012_val_00034674.JPEG', 'ILSVRC2012_val_00049782.JPEG']"
38,banded gecko,n01675722,any of several geckos with dark bands across the body and differing from typical geckos in having movable eyelids; of United States southwest and Florida Gulf Coast,['https://en.wikipedia.org/wiki/Coleonyx'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00014468.JPEG', 'ILSVRC2012_val_00047399.JPEG', 'ILSVRC2012_val_00031103.JPEG', 'ILSVRC2012_val_00013269.JPEG', 'ILSVRC2012_val_00008226.JPEG']"
39,"common iguana, iguana, Iguana iguana",n01677366,large herbivorous tropical American arboreal lizards with a spiny crest along the back; used as human food in Central America and South America,['https://en.wikipedia.org/wiki/Green_iguana'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00018450.JPEG', 'ILSVRC2012_val_00028764.JPEG', 'ILSVRC2012_val_00044659.JPEG', 'ILSVRC2012_val_00048467.JPEG', 'ILSVRC2012_val_00033698.JPEG']"
40,"American chameleon, anole, Anolis carolinensis",n01682714,small arboreal tropical American insectivorous lizards with the ability to change skin color,['https://en.wikipedia.org/wiki/Carolina_anole'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00020154.JPEG', 'ILSVRC2012_val_00030523.JPEG', 'ILSVRC2012_val_00040616.JPEG', 'ILSVRC2012_val_00043774.JPEG', 'ILSVRC2012_val_00014768.JPEG']"
41,"whiptail, whiptail lizard",n01685808,any of numerous very agile and alert New World lizards,['https://en.wikipedia.org/wiki/Whiptail'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00042602.JPEG', 'ILSVRC2012_val_00009687.JPEG', 'ILSVRC2012_val_00022731.JPEG', 'ILSVRC2012_val_00025017.JPEG', 'ILSVRC2012_val_00020356.JPEG']"
42,agama,n01687978,small terrestrial lizard of warm regions of the Old World,['https://en.wikipedia.org/wiki/Agama_(lizard)'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00020538.JPEG', 'ILSVRC2012_val_00022247.JPEG', 'ILSVRC2012_val_00012365.JPEG', 'ILSVRC2012_val_00016308.JPEG', 'ILSVRC2012_val_00037655.JPEG']"
43,"frilled lizard, Chlamydosaurus kingi",n01688243,large arboreal insectivorous Australian lizard with a ruff of skin around the neck,['https://en.wikipedia.org/wiki/Frilled_lizard'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00029947.JPEG', 'ILSVRC2012_val_00034793.JPEG', 'ILSVRC2012_val_00017002.JPEG', 'ILSVRC2012_val_00022563.JPEG', 'ILSVRC2012_val_00018095.JPEG']"
44,alligator lizard,n01689811,slim short-limbed lizard having a distinctive fold on each side that permits expansion; of western North America,['https://en.wikipedia.org/wiki/Alligator_lizard'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00011044.JPEG', 'ILSVRC2012_val_00048213.JPEG', 'ILSVRC2012_val_00043246.JPEG', 'ILSVRC2012_val_00018979.JPEG', 'ILSVRC2012_val_00033382.JPEG']"
45,"Gila monster, Heloderma suspectum",n01692333,large orange and black lizard of southwestern United States; not dangerous unless molested,['https://en.wikipedia.org/wiki/Gila_monster'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00045223.JPEG', 'ILSVRC2012_val_00004505.JPEG', 'ILSVRC2012_val_00036802.JPEG', 'ILSVRC2012_val_00026500.JPEG', 'ILSVRC2012_val_00005138.JPEG']"
46,"green lizard, Lacerta viridis",n01693334,a common Eurasian lizard about a foot long,['https://en.wikipedia.org/wiki/European_green_lizard'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00017730.JPEG', 'ILSVRC2012_val_00018857.JPEG', 'ILSVRC2012_val_00033120.JPEG', 'ILSVRC2012_val_00004102.JPEG', 'ILSVRC2012_val_00025378.JPEG']"
47,"African chameleon, Chamaeleo chamaeleon",n01694178,a chameleon found in Africa,['https://en.wikipedia.org/wiki/African_chameleon'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00038162.JPEG', 'ILSVRC2012_val_00018834.JPEG', 'ILSVRC2012_val_00022997.JPEG', 'ILSVRC2012_val_00046882.JPEG', 'ILSVRC2012_val_00006244.JPEG']"
48,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",n01695060,the largest lizard in the world (10 feet); found on Indonesian islands,['https://en.wikipedia.org/wiki/Komodo_dragon'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00022470.JPEG', 'ILSVRC2012_val_00034346.JPEG', 'ILSVRC2012_val_00034669.JPEG', 'ILSVRC2012_val_00039578.JPEG', 'ILSVRC2012_val_00026418.JPEG']"
49,"African crocodile, Nile crocodile, Crocodylus niloticus",n01697457,a dangerous crocodile widely distributed in Africa,['https://en.wikipedia.org/wiki/Nile_crocodile'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00042304.JPEG', 'ILSVRC2012_val_00021109.JPEG', 'ILSVRC2012_val_00036455.JPEG', 'ILSVRC2012_val_00049980.JPEG', 'ILSVRC2012_val_00017963.JPEG']"
50,"American alligator, Alligator mississipiensis",n01698640,large alligator of the southeastern United States,['https://en.wikipedia.org/wiki/American_alligator'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00049333.JPEG', 'ILSVRC2012_val_00000090.JPEG', 'ILSVRC2012_val_00004402.JPEG', 'ILSVRC2012_val_00004009.JPEG', 'ILSVRC2012_val_00048828.JPEG']"
51,triceratops,n01704323,huge ceratopsian dinosaur having three horns and the neck heavily armored with a very solid frill,['https://en.wikipedia.org/wiki/Triceratops'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00048791.JPEG', 'ILSVRC2012_val_00018983.JPEG', 'ILSVRC2012_val_00029231.JPEG', 'ILSVRC2012_val_00049495.JPEG', 'ILSVRC2012_val_00047970.JPEG']"
52,"thunder snake, worm snake, Carphophis amoenus",n01728572,small reddish wormlike snake of eastern United States,['https://en.wikipedia.org/wiki/Carphophis_amoenus'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00020383.JPEG', 'ILSVRC2012_val_00022016.JPEG', 'ILSVRC2012_val_00004927.JPEG', 'ILSVRC2012_val_00007114.JPEG', 'ILSVRC2012_val_00019722.JPEG']"
53,"ringneck snake, ring-necked snake, ring snake",n01728920,any of numerous small nonvenomous North American snakes with a yellow or orange ring around the neck,['https://en.wikipedia.org/wiki/Ring-necked_snake'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00026018.JPEG', 'ILSVRC2012_val_00013751.JPEG', 'ILSVRC2012_val_00018041.JPEG', 'ILSVRC2012_val_00047852.JPEG', 'ILSVRC2012_val_00042082.JPEG']"
54,"hognose snake, puff adder, sand viper",n01729322,harmless North American snake with upturned nose; may spread its head and neck or play dead when disturbed,['https://en.wikipedia.org/wiki/Hognose'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00039443.JPEG', 'ILSVRC2012_val_00003071.JPEG', 'ILSVRC2012_val_00024259.JPEG', 'ILSVRC2012_val_00045979.JPEG', 'ILSVRC2012_val_00039732.JPEG']"
55,"green snake, grass snake",n01729977,either of two North American chiefly insectivorous snakes that are green in color,['https://en.wikipedia.org/wiki/Green_Snake'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00011169.JPEG', 'ILSVRC2012_val_00007710.JPEG', 'ILSVRC2012_val_00030562.JPEG', 'ILSVRC2012_val_00048957.JPEG', 'ILSVRC2012_val_00017409.JPEG']"
56,"king snake, kingsnake",n01734418,any of numerous nonvenomous North American constrictors; feed on other snakes and small mammals,['https://en.wikipedia.org/wiki/Kingsnake'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00017967.JPEG', 'ILSVRC2012_val_00025325.JPEG', 'ILSVRC2012_val_00000941.JPEG', 'ILSVRC2012_val_00027747.JPEG', 'ILSVRC2012_val_00013035.JPEG']"
57,"garter snake, grass snake",n01735189,any of numerous nonvenomous longitudinally-striped viviparous North American and Central American snakes,['https://en.wikipedia.org/wiki/Garter_snake'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00043639.JPEG', 'ILSVRC2012_val_00001309.JPEG', 'ILSVRC2012_val_00006105.JPEG', 'ILSVRC2012_val_00029712.JPEG', 'ILSVRC2012_val_00023657.JPEG']"
58,water snake,n01737021,any of various mostly harmless snakes that live in or near water,['https://en.wikipedia.org/wiki/Nerodia'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00000084.JPEG', 'ILSVRC2012_val_00040447.JPEG', 'ILSVRC2012_val_00024682.JPEG', 'ILSVRC2012_val_00041829.JPEG', 'ILSVRC2012_val_00044544.JPEG']"
59,vine snake,n01739381,slender arboreal snake found from southern Arizona to Bolivia,['https://en.wikipedia.org/wiki/Colubridae'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00023941.JPEG', 'ILSVRC2012_val_00042284.JPEG', 'ILSVRC2012_val_00009754.JPEG', 'ILSVRC2012_val_00017557.JPEG', 'ILSVRC2012_val_00022816.JPEG']"
60,"night snake, Hypsiglena torquata",n01740131,nocturnal prowler of western United States and Mexico,['https://en.wikipedia.org/wiki/Night_snake'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00002505.JPEG', 'ILSVRC2012_val_00004587.JPEG', 'ILSVRC2012_val_00030905.JPEG', 'ILSVRC2012_val_00011034.JPEG', 'ILSVRC2012_val_00025955.JPEG']"
61,"boa constrictor, Constrictor constrictor",n01742172,very large boa of tropical America and West Indies,['https://en.wikipedia.org/wiki/Boa_constrictor'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00045042.JPEG', 'ILSVRC2012_val_00049311.JPEG', 'ILSVRC2012_val_00029088.JPEG', 'ILSVRC2012_val_00043349.JPEG', 'ILSVRC2012_val_00001879.JPEG']"
62,"rock python, rock snake, Python sebae",n01744401,very large python of tropical and southern Africa,['https://en.wikipedia.org/wiki/African_rock_python'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00040824.JPEG', 'ILSVRC2012_val_00002899.JPEG', 'ILSVRC2012_val_00015523.JPEG', 'ILSVRC2012_val_00037464.JPEG', 'ILSVRC2012_val_00043836.JPEG']"
63,"Indian cobra, Naja naja",n01748264,a cobra of tropical Africa and Asia,['https://en.wikipedia.org/wiki/Indian_cobra'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00005033.JPEG', 'ILSVRC2012_val_00035736.JPEG', 'ILSVRC2012_val_00038671.JPEG', 'ILSVRC2012_val_00006800.JPEG', 'ILSVRC2012_val_00024541.JPEG']"
64,green mamba,n01749939,green phase of the black mamba,['https://en.wikipedia.org/wiki/Eastern_green_mamba'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00015698.JPEG', 'ILSVRC2012_val_00049542.JPEG', 'ILSVRC2012_val_00008829.JPEG', 'ILSVRC2012_val_00025938.JPEG', 'ILSVRC2012_val_00001185.JPEG']"
65,sea snake,n01751748,any of numerous venomous aquatic viviparous snakes having a fin-like tail; of warm littoral seas; feed on fish which they immobilize with quick-acting venom,['https://en.wikipedia.org/wiki/Sea_snake'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00049933.JPEG', 'ILSVRC2012_val_00016846.JPEG', 'ILSVRC2012_val_00033242.JPEG', 'ILSVRC2012_val_00032628.JPEG', 'ILSVRC2012_val_00021916.JPEG']"
66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",n01753488,highly venomous viper of northern Africa and southwestern Asia having a horny spine above each eye,['https://en.wikipedia.org/wiki/Cerastes_(genus)'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00045247.JPEG', 'ILSVRC2012_val_00038266.JPEG', 'ILSVRC2012_val_00033125.JPEG', 'ILSVRC2012_val_00036910.JPEG', 'ILSVRC2012_val_00034461.JPEG']"
67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",n01755581,large deadly rattlesnake with diamond-shaped markings,['https://en.wikipedia.org/wiki/Eastern_diamondback_rattlesnake'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00016470.JPEG', 'ILSVRC2012_val_00039026.JPEG', 'ILSVRC2012_val_00037451.JPEG', 'ILSVRC2012_val_00038342.JPEG', 'ILSVRC2012_val_00024299.JPEG']"
68,"sidewinder, horned rattlesnake, Crotalus cerastes",n01756291,small pale-colored desert rattlesnake of southwestern United States; body moves in an s-shaped curve,['https://en.wikipedia.org/wiki/Crotalus_cerastes'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00036441.JPEG', 'ILSVRC2012_val_00036901.JPEG', 'ILSVRC2012_val_00045845.JPEG', 'ILSVRC2012_val_00012006.JPEG', 'ILSVRC2012_val_00006690.JPEG']"
69,trilobite,n01768244,an extinct arthropod that was abundant in Paleozoic times; had an exoskeleton divided into three parts,['https://en.wikipedia.org/wiki/Trilobite'],inverterbrates,"['ILSVRC2012_val_00041583.JPEG', 'ILSVRC2012_val_00033414.JPEG', 'ILSVRC2012_val_00031802.JPEG', 'ILSVRC2012_val_00019874.JPEG', 'ILSVRC2012_val_00032892.JPEG']"
70,"harvestman, daddy longlegs, Phalangium opilio",n01770081,spiderlike arachnid with a small rounded body and very long thin legs,['https://en.wikipedia.org/wiki/Opiliones'],inverterbrates,"['ILSVRC2012_val_00030649.JPEG', 'ILSVRC2012_val_00014971.JPEG', 'ILSVRC2012_val_00048708.JPEG', 'ILSVRC2012_val_00021658.JPEG', 'ILSVRC2012_val_00040621.JPEG']"
